n ad bd cd dd ed g1 g2 g3 
1 4.13526891381303 4.18450184170054 -8.03003433958805 99.6818956021193 50.5290606951623 109.082890066831 2916.81422371962 -2811.72386771795
2 3.45149554918022 7.07031400105021 29.9086361092488 -164.496890194641 9.83493472538801 111.150800730648 1670.3001997697 -1556.76363266124
3 3.17724201218251 15.6117386130289 24.8540787187388 -80.235071783603 65.2865465368055 114.392878778399 127.106111354036 -7.94044578629398
4 1.65481911593691 4.42115552959166 -7.78588165188355 87.4624898980304 14.7407530541604 98.0853376296112 -2338.5139522823 2436.0054668921
5 4.79472277321446 8.31420136771535 -12.5924748444615 -68.3398788174108 -10.1626036501101 114.299277381216 -2657.76565776972 2768.43393604405
6 -1.57385615719383 8.90946339969852 7.88378566937709 60.4432781829465 -39.8757526459252 94.6426573472069 2551.7469807364 -2457.46013435485
7 0.177086014641159 4.82094180395917 -2.15430227852205 67.3876865018522 -46.1598788736365 102.987230659687 -3536.7350264236 3639.0496282022
8 -4.33471847640964 8.27901724747993 -24.8314618133844 -18.8584972201373 -31.4331302949879 115.640225976123 3159.95109646773 -3048.32382958256
9 11.0336041418235 4.6461384712003 83.3973508085361 57.4852032980071 -25.7735718629024 121.254320668818 -585.862039330506 711.688293399881
10 5.50251583243151 8.07681899346651 -47.7665969522256 -55.4748500445879 -66.0805451705016 107.509523677352 204.394382927648 -97.5138708040026
11 7.7637533090439 4.08667006779729 43.4560750923439 -83.9946775004197 7.97082382772381 98.9079570079858 276.261204519423 -178.527208404742
12 7.6505546949988 4.57260696125392 -15.7138314497936 -42.72931067868 -1.34561464848402 99.0183720091763 -1858.79873901865 1959.93212798514
13 -2.83381260467889 11.8657447767043 -2.63618388246933 41.5633194708848 26.5935161495651 106.241071590471 3499.64111237954 -3389.89033080463
14 -1.6954986732718 5.92298327672416 -11.902406633327 49.6305817976919 -16.3334719655286 112.722255106881 2947.0691456814 -2834.28923776322
15 1.46383956936084 7.45096519993004 -14.4207504971628 23.6387976957069 49.1372570536785 90.6454241875488 -3096.06354290703 3188.33443926915
16 3.47229641799587 4.51617163954937 24.632980400304 109.648878930659 53.6545228637022 113.516562629836 1506.78973753468 -1393.99323676194
17 8.89663663899719 6.9887779239365 47.4174654945992 10.8067089560946 38.8704428797672 102.486044920316 -720.814924727863 820.749169874161
18 8.72266939669414 10.4979204282391 38.1729607618921 -64.1919263988739 -29.6267962742913 102.92244682528 1093.04033259272 -990.195377709483
19 1.66259904816814 4.10420721185354 -15.6848703953527 -66.2950043849306 -13.0431588786662 102.505716965665 1399.67933487911 -1296.02620676986
20 4.11312546198532 4.27060635816266 9.9904615998213 -0.445762932002845 17.6815901046722 102.892894733614 463.292128987288 -360.584194675229
21 5.62667155637129 11.1872442488321 7.74099243338417 -53.6666188168972 46.2805000970383 124.238246822834 -1548.8829102029 1671.31667076452
22 -1.84702223257114 4.1471257952462 -14.1004027262216 -130.731668484396 -9.18233320387905 84.4301887228581 2018.69158992516 -1932.56902740004
23 12.3368198839037 8.39208325972681 19.5074944733843 -15.9574380049085 -34.7174736607209 97.3621161080513 2245.06800583187 -2149.63374428953
24 7.05208900919006 6.90681958789981 11.7278599184298 38.8567734047874 25.8987878467494 101.626033913222 -868.453169234324 972.085534267543
25 7.0329563028352 6.42883542905066 47.7890821761003 -94.6665465360694 -31.2415245094028 123.448869380019 1597.81011493841 -1477.97830903246
26 10.7179497194445 2.09916137062 28.6133545199014 -28.292494763055 -35.2599153723319 119.06700996939 -769.187466048315 890.607920392041
27 2.81777549270827 3.18840050346619 40.0529315256722 86.7157992549368 43.0034499139756 108.566792582967 -3521.28506866932 3632.77069360736
28 6.26436484069998 5.05980436589672 -9.90106617028756 -3.35530090282022 37.1859063027422 110.003270026545 526.062616640574 -417.098683519907
29 8.67731116195291 10.5119917602189 -14.9595304643292 21.1037573106291 59.4865083216396 108.342055419928 3555.09397537773 -3448.18048915494
30 2.49795725328814 3.56898483763003 17.9280951418923 106.078713483178 67.2903560983282 123.893290479648 3248.67439092525 -3121.85146934655
31 -1.6490180012581 6.2895455293792 6.99193361353118 -133.58273561041 -31.4406651289973 108.182874655237 -222.23740452541 329.561571261074
32 5.08605766306491 12.4199535069229 -15.5486665712027 44.7756668572528 58.2760822835594 110.615067781929 2798.72525720349 -2686.61919611173
33 5.37706459720845 2.07071906431047 18.7284046869847 -49.5636351889196 43.2916662995771 75.0747888573041 -468.960569640514 543.9414634631
34 9.69170111459874 7.91230526345072 56.9219548752577 173.858288111652 -22.7366860397161 126.9597427122 -668.383988359345 796.29570732977
35 1.01231097292349 8.69292789486366 9.08815316726331 -39.9716869682716 55.148694329636 123.610205060131 -935.883555580517 1058.89576221734
36 8.08103005049553 8.60080471828746 55.4301934689546 104.054861072894 -11.4055213087441 97.7381957428624 -304.206053488448 402.820862179794
37 -1.09835379673933 5.6894246631178 25.4475568230554 -81.168967152337 -2.63093239957778 106.711166957016 -1061.39857346387 1169.85446774444
38 1.78731895588798 7.37837018273612 20.5185362080765 120.793095072526 28.4657164096459 100.187839472514 -360.631799713194 461.351175369421
39 8.61775790646099 5.35606455543664 10.1183529889006 -80.1764911022382 8.31974901345176 112.86750592696 -86.0335385528049 198.366735526144
40 4.68845337125847 10.6125263150282 20.6429870216424 121.307917882727 -29.2062313176368 114.685610300266 2724.55265265254 -2610.1053742431
41 9.10264835014297 2.61741567362558 43.1134319931956 -29.6209502928075 63.8849190102111 100.809387090942 887.24778908152 -784.137457377659
42 7.11781209817394 4.93330103499385 1.8013231094916 26.5147038127993 4.41513004778229 115.967147304376 1430.08820576969 -1311.82035901979
43 6.94385167141489 5.65213882054334 -48.7951884060592 -54.6723878054697 36.4356908648579 90.9817385802057 -763.451976915927 858.240202019932
44 7.15191356008582 3.25934976771059 25.9472401507583 37.6637153101806 -21.2911400078826 99.8551595533491 1549.233145666 -1449.0278765732
45 6.75368634069634 6.65069843930407 -51.6646456418064 142.027789680688 21.8358255416633 103.061022436934 2382.00903917738 -2278.43700710812
46 6.93583355651794 5.5055465195608 2.51894337167316 -145.466554695816 43.4524186617758 115.981666420618 -1270.43851777858 1386.76767807971
47 7.07007950604262 2.32719181795233 22.3394704306673 156.570249489854 3.27328141687784 92.1984139141532 -3951.81448902477 4043.85507840917
48 10.477252419326 8.55031413054092 47.6394447280473 8.35608409918857 27.3622886536143 106.2338892252 -1074.91694844164 1180.79159122618
49 7.94683539163443 5.39228210872202 48.3507772314755 108.09945996399 83.0925534312118 127.473073945347 -701.91444154456 829.307349088275
50 6.52363248197685 9.80682553987494 -40.6257847916736 -71.3570540340509 77.153669727915 110.632148534081 4046.70617264148 -3936.71492082087
